id,name,author,price
65,只買4支股，年賺18%（全新加強版）,施昇輝,優惠價：79折300元
66,國學潮人誌，古人超有料——12位最強男神女神，成敗起伏的生命中，有哪些與眾不同的求生姿態、不同的「潮」,宋怡慧,優惠價：79折299元
67,當最親的人成為傷痕,黃之盈,優惠價：79折253元
68,血液循環，95%的病自己會好：日本人天天做的33堂排毒課,福田稔、福田理惠,優惠價：9折252元
69,社會性技巧訓練手冊：給自閉症或亞斯伯格症幼兒、兒童、年輕人和他們朋友們的185則社會性故事（第二版）,凱蘿‧葛瑞,優惠價：95折456元
70,五等分的新娘 12 (首刷限定版),春場 ?,優惠價：95折284元
71,45秒講座 擁有你的人生,唐．菲拉,優惠價：9折270元
72,New TOEIC多益新制黃金團隊5回全真試題＋詳解（附2MP3＋防水書套）,"洪鎮杰,李住恩,NEXUS多益研究所",優惠價：79折552元
73,每天演好一個情緒穩定的大人,老楊的貓頭鷹,優惠價：79折253元
74,財務自由，提早過你真正想過的生活：楊應超Kirk Yang審定推薦，關於時間、自由、金錢、副業的實用思考,葛蘭．薩巴帝爾,優惠價：79折300元
75,鬼滅之刃 7,吾?呼世晴,優惠價：85折85元
76,陶妖（仙靈傳奇4）,陳郁如,優惠價：79折300元
77,QBQ！問題背後的問題（30萬冊紀念版）,約翰‧米勒,優惠價：79折205元
78,一日三餐減醣料理：單週無壓力消失2kg的美味計劃，72道低醣速瘦搭配餐,娜塔,優惠價：79折300元
79,神奇柑仔店系列1～4（共四冊）,廣?玲子,優惠價：75折840元
80,鬼滅之刃 8,吾?呼世晴,優惠價：85折85元
81,鬼滅之刃 9,吾?呼世晴,優惠價：85折85元
82,鬼滅之刃 10,吾?呼世晴,優惠價：85折85元
83,蔡康永的情商課2：因為這是你的人生,蔡康永,優惠價：79折277元
84,攀向沒有頂點的山：三條魚的追尋,詹喬愉,優惠價：79折356元
85,利他存摺：天天累積，給出去的終究會回來,許維真（梅塔／Metta）,優惠價：79折198元
86,牧羊人讀書筆記【限量作者親簽版】,朱敬一,優惠價：79折277元
87,龍族教義：黑暗覺者 黑咒島官方攻略本,CAPCOM,優惠價：85折339元
88,情緒勒索：那些在伴侶、親子、職場間，最讓人窒息的相處（15萬冊暢銷版）,周慕姿,優惠價：79折245元
89,6年存到300張股票,陳重銘,優惠價：79折221元
90,生命這堂課：心理學家臥底醫療現場的26個思索,陳永儀,優惠價：79折253元
91,真確：扭轉十大直覺偏誤，發現事情比你想的美好,"漢斯．羅斯林,奧拉．羅斯林,安娜．羅朗德",優惠價：79折316元
92,鬼滅之刃 5,吾?呼世晴,優惠價：85折85元
93,鬼滅之刃 6,吾?呼世晴,優惠價：85折85元
94,精準寫作：寫作力就是思考力！精鍊思考的20堂課，專題報告、簡報資料、企劃、文案都能精準表達,洪震宇,優惠價：79折277元
95,妖怪旅館營業中 10 讓我們攜手回天神屋,友麻碧,優惠價：79折253元
96,讀懂一本書：3300萬會員、22億次收聽「樊登讀書」創始人知識變能力的祕密完整公開,樊登,優惠價：79折300元
97,比鬼故事更可怕的是你我身邊的故事,少女老王,優惠價：79折261元
98,暗黑民國史：兩岸歷史課本刻意迴避的空白30年,余杰,優惠價：79折394元
99,牠不在，但都懂：如何解讀離世寵物的靈魂訊息,琳．拉根,優惠價：79折236元
100,鐵男孩：山寨之城1,麥人杰,優惠價：79折356元
