id,name,rate,link
48,玉米蛋蛋製作所,4.7/5,https://www.foodpanda.com.tw/restaurant/y8lk/yu-mi-dan-dan-zhi-zuo-suo
49,咖哩王子 (台北臨江店),4.7/5,https://www.foodpanda.com.tw/restaurant/z6mt/ka-li-wang-zi-tai-bei-lin-jiang-dian
50,Mister Donut (台北京捷門市),4.8/5,https://www.foodpanda.com.tw/restaurant/d4qo/mister-donut--9
51,三顧茅廬 (台北長安東一店),4.6/5,https://www.foodpanda.com.tw/restaurant/z9zo/san-gu-mao-lu-tai-bei-chang-an-dong-yi-dian
52,許記生煎包,5月5日,https://www.foodpanda.com.tw/restaurant/f3md/f3md
53,十全藥膳排骨(大安通化店),4.7/5,https://www.foodpanda.com.tw/restaurant/a6bi/shi-quan-yao-shan-pai-gu-da-an-tong-hua-dian
54,COLD STONE (西門門市),4.8/5,https://www.foodpanda.com.tw/restaurant/d4bm/cold-stone--10
55,吉星港式飲茶,4.6/5,https://www.foodpanda.com.tw/restaurant/y9bd/ji-xing-gang-shi-yin-cha
56,216粉圓大王,4.6/5,https://www.foodpanda.com.tw/restaurant/f5qs/216-
57,老四川巴蜀麻辣燙 (台北長安店),4.5/5,https://www.foodpanda.com.tw/restaurant/d0pd/lao-si-chuan-ba-shu-ma-la-tang-tai-bei-chang-an-dian
58,胡記通化街米粉湯 (台北大安旗艦店),4.6/5,https://www.foodpanda.com.tw/restaurant/z4if/hu-ji-tong-hua-jie-mi-fen-tang-tai-bei-da-an-qi-jian-dian
59,一麻一辣,4.5/5,https://www.foodpanda.com.tw/restaurant/e6rq/yi-ma-yi-la
60,秧米Yumeat Rice,4.6/5,https://www.foodpanda.com.tw/restaurant/z4mr/-yumeat-rice
61,燈籠滷味創始總店,4.5/5,https://www.foodpanda.com.tw/restaurant/y0aq/deng-long-lu-wei-chuang-shi-zong-dian
62,十全藥膳排骨(大安通化店),4.7/5,https://www.foodpanda.com.tw/restaurant/a6bi/shi-quan-yao-shan-pai-gu-da-an-tong-hua-dian
63,好福記永和豆漿 (台北長春店),4.5/5,https://www.foodpanda.com.tw/restaurant/y7wu/hao-fu-ji-yong-he-dou-jiang-tai-bei-chang-chun-dian
64,K.D Bistro Taipei,5月5日,https://www.foodpanda.com.tw/restaurant/f7sc/k-d-bistro-taipei
65,無老鍋 (台北新生店),4.8/5,https://www.foodpanda.com.tw/restaurant/a2rx/wu-lao-guo-tai-bei-xin-sheng-dian
66,茶堀出軌,4.8/5,https://www.foodpanda.com.tw/restaurant/e9mm/cha-ku-chu-gui
67,鍋in百元風味鍋 (台北公館店),4.8/5,https://www.foodpanda.com.tw/restaurant/f2yx/-in--2
68,粥師傅廣東粥 (台北林森店),4.8/5,https://www.foodpanda.com.tw/restaurant/a0hz/zhou-shi-fu-guang-dong-zhou-tai-bei-lin-sen-dian
69,COLD STONE (西門門市),4.8/5,https://www.foodpanda.com.tw/restaurant/d4bm/cold-stone--10
70,Mister Donut (台北京捷門市),4.8/5,https://www.foodpanda.com.tw/restaurant/d4qo/mister-donut--9
71,郭家炸蛋蔥油餅 (中正南機場店),4.7/5,https://www.foodpanda.com.tw/restaurant/e8os/guo-jia-zha-dan-cong-you-bing-zhong-zheng-nan-ji-chang-dian
72,Pizza Hut必勝客 (新生外送店),4.7/5,https://www.foodpanda.com.tw/restaurant/y9hq/pizza-hut--210
73,Pizza Hut必勝客 (大安外送店),4.7/5,https://www.foodpanda.com.tw/restaurant/y3vr/pizza-hut-48
74,臨江街小米甜甜圈,4.7/5,https://www.foodpanda.com.tw/restaurant/d9tx/lin-jiang-jie-xiao-mi-tian-tian-quan
75,鶴茶樓-鶴頂紅茶商店,4.7/5,https://www.foodpanda.com.tw/restaurant/f5ol/f5ol
76,Rocket Music音樂火箭餐廳,4.6/5,https://www.foodpanda.com.tw/restaurant/e0lr/rocket-music-
77,好雞匯鹹水雞(台北林森店),4.7/5,https://www.foodpanda.com.tw/restaurant/b7ii/hao-ji-hui-tai-bei-lin-sen-dian
78,馬友友印度廚房 (MIK-6) (台北松江店),4.6/5,https://www.foodpanda.com.tw/restaurant/w8qx/mik-6
79,一緒串燒-酒場,4.6/5,https://www.foodpanda.com.tw/restaurant/d7bg/yi-xu-chuan-shao-jiu-chang
