id,name,rate,link
49,磚瓦台關東煮 (台北師大店),4.5/5,https://www.foodpanda.com.tw/restaurant/a0sf/hong-men-guan-dong-zhu-tai-bei-shi-da-dian
50,八方雲集 (信義嘉興店),4.7/5,https://www.foodpanda.com.tw/restaurant/b9cu/ba-fang-yun-ji-tai-bei-jia-xing-dian
51,通化街米粉湯50年老店(胡記復興旗艦店),4.5/5,https://www.foodpanda.com.tw/restaurant/y3pm/-50--1
52,燈籠滷味創始總店,4.5/5,https://www.foodpanda.com.tw/restaurant/y0aq/deng-long-lu-wei-chuang-shi-zong-dian
53,朕點麻小面 (台北忠孝店),4.5/5,https://www.foodpanda.com.tw/restaurant/y1oc/zhen-dian-ma-xiao-mian-tai-bei-zhong-xiao-dian
54,人??厚切牛排 (台北復興店),4.5/5,https://www.foodpanda.com.tw/restaurant/z9ga/ren-cong-zhong-hou-qie-niu-pai-tai-bei-fu-xing-dian
55,一麻一辣,4.5/5,https://www.foodpanda.com.tw/restaurant/e6rq/yi-ma-yi-la
56,雞掌櫃 (台北通化店),4.5/5,https://www.foodpanda.com.tw/restaurant/y4pb/ji-zhang-gui-tai-bei-tong-hua-dian
57,冰山一角甜品屋,4.4/5,https://www.foodpanda.com.tw/restaurant/y3oz/bing-shan-yi-jiao-tian-pin-wu
58,瘋狂肉串王 (台北大安店),4.5/5,https://www.foodpanda.com.tw/restaurant/f8rd/f8rd
59,胡記通化街米粉湯 (台北大安旗艦店),4.6/5,https://www.foodpanda.com.tw/restaurant/z4if/hu-ji-tong-hua-jie-mi-fen-tang-tai-bei-da-an-qi-jian-dian
60,十全藥膳排骨(大安通化店),4.7/5,https://www.foodpanda.com.tw/restaurant/a6bi/shi-quan-yao-shan-pai-gu-da-an-tong-hua-dian
61,雞掌櫃 (台北通化店),4.5/5,https://www.foodpanda.com.tw/restaurant/y4pb/ji-zhang-gui-tai-bei-tong-hua-dian
62,掌櫃小鍋 (台北通化店),4.2/5,https://www.foodpanda.com.tw/restaurant/e3ip/zhang-gui-xiao-guo-tai-bei-tong-hua-dian
63,艋舺雞排 (大安通化店),4.7/5,https://www.foodpanda.com.tw/restaurant/y9ek/meng-jia-ji-pai-da-an-tong-hua-dian
64,小豬很忙蔬果滷味 (信義莊敬店),4.5/5,https://www.foodpanda.com.tw/restaurant/y3dt/xiao-zhu-hen-mang-shu-guo-lu-wei-xin-yi-zhuang-jing-dian
65,燈籠滷味 (台北通化店),4.5/5,https://www.foodpanda.com.tw/restaurant/z3dc/deng-long-lu-wei-tai-bei-tong-hua-dian
66,K.D Bistro Taipei,5月5日,https://www.foodpanda.com.tw/restaurant/f7sc/k-d-bistro-taipei
67,台北果汁專賣店 (二店),5月5日,https://www.foodpanda.com.tw/restaurant/f4ts/f4ts
68,甘芭嗲水果茶飲甜食 (台北永吉店),5月5日,https://www.foodpanda.com.tw/restaurant/f6bp/f6bp
69,鍋in百元風味鍋 (台北公館店),4.8/5,https://www.foodpanda.com.tw/restaurant/f2yx/-in--2
70,無老鍋 (台北新生店),4.8/5,https://www.foodpanda.com.tw/restaurant/a2rx/wu-lao-guo-tai-bei-xin-sheng-dian
71,臨江街小米甜甜圈,4.7/5,https://www.foodpanda.com.tw/restaurant/d9tx/lin-jiang-jie-xiao-mi-tian-tian-quan
72,85度C (台北和平東店),4.8/5,https://www.foodpanda.com.tw/restaurant/y0rf/85-c--94
73,楊婆婆八寶粥,4.7/5,https://www.foodpanda.com.tw/restaurant/y0ue/yang-po-po-ba-bao-zhou
74,玉欣珍傳統美食坊,4.6/5,https://www.foodpanda.com.tw/restaurant/w4fi/yu-xin-zhen-chuan-tong-mei-shi-fang
75,富陽徐家豆花,4.6/5,https://www.foodpanda.com.tw/restaurant/d7zk/fu-yang-xu-jia-dou-hua
76,人??厚切牛排 (台北復興店),4.5/5,https://www.foodpanda.com.tw/restaurant/z9ga/ren-cong-zhong-hou-qie-niu-pai-tai-bei-fu-xing-dian
77,粥師傅廣東粥 (台北林森店),4.8/5,https://www.foodpanda.com.tw/restaurant/a0hz/zhou-shi-fu-guang-dong-zhou-tai-bei-lin-sen-dian
78,玖五牛肉麵,4.6/5,https://www.foodpanda.com.tw/restaurant/f3bt/f3bt
79,摩斯漢堡Mos Burger (羅斯福路店),4.7/5,https://www.foodpanda.com.tw/restaurant/y3py/-mos-burger--39
80,郭家炸蛋蔥油餅 (中正南機場店),4.7/5,https://www.foodpanda.com.tw/restaurant/e8os/guo-jia-zha-dan-cong-you-bing-zhong-zheng-nan-ji-chang-dian
81,無敵滷物製作所,4.6/5,https://www.foodpanda.com.tw/restaurant/d5fw/wu-di-lu-wu-zhi-zuo-suo
82,貓掌燒,4.6/5,https://www.foodpanda.com.tw/restaurant/z3dw/mao-zhang-shao
83,職人丼深夜食堂,4.6/5,https://www.foodpanda.com.tw/restaurant/y6py/zhi-ren-jing-shen-ye-shi-tang
84,京星港式飲茶2店,4.6/5,https://www.foodpanda.com.tw/restaurant/y9tw/-2--20
85,Rocket Music音樂火箭餐廳,4.6/5,https://www.foodpanda.com.tw/restaurant/e0lr/rocket-music-
86,宙斯果霸 (台北大安店),4.6/5,https://www.foodpanda.com.tw/restaurant/e3vd/zhou-si-guo-ba-tai-bei-da-an-dian
87,怪舒芙-舒芙蕾厚鬆餅專賣店 Souffle,4.6/5,https://www.foodpanda.com.tw/restaurant/e0lj/-souffle
88,斐萃光澤茶,4.5/5,https://www.foodpanda.com.tw/restaurant/d3wc/fei-cui-guang-ze-cha
89,好雞匯鹹水雞(台北林森店),4.7/5,https://www.foodpanda.com.tw/restaurant/b7ii/hao-ji-hui-tai-bei-lin-sen-dian
90,滷先覺,4.6/5,https://www.foodpanda.com.tw/restaurant/d0tl/lu-xian-jue
91,馬友友印度廚房 (MIK-6) (台北松江店),4.6/5,https://www.foodpanda.com.tw/restaurant/w8qx/mik-6
92,凰上您好 (信義永吉店),4.7/5,https://www.foodpanda.com.tw/restaurant/e3zb/huang-shang-nin-hao-xin-yi-yong-ji-dian
93,星月映辰鮮奶茶舖,4.4/5,https://www.foodpanda.com.tw/restaurant/a2bk/xing-yue-ying-chen-xian-nai-cha-pu
94,TEA TOP (台北師大店),4.7/5,https://www.foodpanda.com.tw/restaurant/y3kg/teatop--3
95,祕密花園白木耳露專賣店,4.6/5,https://www.foodpanda.com.tw/restaurant/w6og/mi-mi-hua-yuan-bai-mu-er-lu-zhuan-mai-dian
96,鮮茶道 (北市通化店),4.7/5,https://www.foodpanda.com.tw/restaurant/a3kh/xian-cha-dao-bei-shi-tong-hua-dian
97,清心福全 (台北信義新松山店),4.8/5,https://www.foodpanda.com.tw/restaurant/a6ad/qing-xin-fu-quan-tai-bei-xin-yi-xin-song-shan-dian
98,涼水庫紅茶冰 (台北南機場店),4.8/5,https://www.foodpanda.com.tw/restaurant/b0mq/liang-shui-ku-hong-cha-bing-tai-bei-nan-ji-chang-dian
99,香港大茶檔,4.5/5,https://www.foodpanda.com.tw/restaurant/z1cf/xiang-gang-da-cha-dang
100,清心福全 (中山遼寧店),4.8/5,https://www.foodpanda.com.tw/restaurant/d5xv/qing-xin-fu-quan-zhong-shan-liao-zhu-dian
